Instance,Configuration,Time(s)
Naive_Encoding_Random_1.cnf,auto,0.002
Naive_Encoding_Random_1.cnf,frumpy,0.002
Naive_Encoding_Random_1.cnf,jumpy,0.002
Naive_Encoding_Random_1.cnf,tweety,0.002
Naive_Encoding_Random_1.cnf,handy,0.002
Naive_Encoding_Random_1.cnf,crafty,0.002
Naive_Encoding_Random_1.cnf,trendy,0.002
Naive_Encoding_Random_1.cnf,many,0.002
Naive_Encoding_Random_10.cnf,auto,0.187
Naive_Encoding_Random_10.cnf,frumpy,0.188
Naive_Encoding_Random_10.cnf,jumpy,0.192
Naive_Encoding_Random_10.cnf,tweety,0.189
Naive_Encoding_Random_10.cnf,handy,0.190
Naive_Encoding_Random_10.cnf,crafty,0.194
Naive_Encoding_Random_10.cnf,trendy,0.191
Naive_Encoding_Random_10.cnf,many,0.189
Naive_Encoding_Random_2.cnf,auto,0.001
Naive_Encoding_Random_2.cnf,frumpy,0.001
Naive_Encoding_Random_2.cnf,jumpy,0.001
Naive_Encoding_Random_2.cnf,tweety,0.001
Naive_Encoding_Random_2.cnf,handy,0.001
Naive_Encoding_Random_2.cnf,crafty,0.001
Naive_Encoding_Random_2.cnf,trendy,0.001
Naive_Encoding_Random_2.cnf,many,0.001
Naive_Encoding_Random_3.cnf,auto,0.036
Naive_Encoding_Random_3.cnf,frumpy,0.037
Naive_Encoding_Random_3.cnf,jumpy,0.036
Naive_Encoding_Random_3.cnf,tweety,0.037
Naive_Encoding_Random_3.cnf,handy,0.037
Naive_Encoding_Random_3.cnf,crafty,0.037
Naive_Encoding_Random_3.cnf,trendy,0.036
Naive_Encoding_Random_3.cnf,many,0.036
Naive_Encoding_Random_4.cnf,auto,0.027
Naive_Encoding_Random_4.cnf,frumpy,0.027
Naive_Encoding_Random_4.cnf,jumpy,0.027
Naive_Encoding_Random_4.cnf,tweety,0.027
Naive_Encoding_Random_4.cnf,handy,0.027
Naive_Encoding_Random_4.cnf,crafty,0.026
Naive_Encoding_Random_4.cnf,trendy,0.027
Naive_Encoding_Random_4.cnf,many,0.027
Naive_Encoding_Random_5.cnf,auto,0.152
Naive_Encoding_Random_5.cnf,frumpy,0.153
Naive_Encoding_Random_5.cnf,jumpy,0.151
Naive_Encoding_Random_5.cnf,tweety,0.156
Naive_Encoding_Random_5.cnf,handy,0.150
Naive_Encoding_Random_5.cnf,crafty,0.152
Naive_Encoding_Random_5.cnf,trendy,0.153
Naive_Encoding_Random_5.cnf,many,0.152
Naive_Encoding_Random_6.cnf,auto,0.080
Naive_Encoding_Random_6.cnf,frumpy,0.076
Naive_Encoding_Random_6.cnf,jumpy,0.078
Naive_Encoding_Random_6.cnf,tweety,0.079
Naive_Encoding_Random_6.cnf,handy,0.080
Naive_Encoding_Random_6.cnf,crafty,0.080
Naive_Encoding_Random_6.cnf,trendy,0.079
Naive_Encoding_Random_6.cnf,many,0.080
Naive_Encoding_Random_7.cnf,auto,0.317
Naive_Encoding_Random_7.cnf,frumpy,0.311
Naive_Encoding_Random_7.cnf,jumpy,0.315
Naive_Encoding_Random_7.cnf,tweety,0.313
Naive_Encoding_Random_7.cnf,handy,0.320
Naive_Encoding_Random_7.cnf,crafty,0.314
Naive_Encoding_Random_7.cnf,trendy,0.315
Naive_Encoding_Random_7.cnf,many,0.315
Naive_Encoding_Random_8.cnf,auto,0.168
Naive_Encoding_Random_8.cnf,frumpy,0.167
Naive_Encoding_Random_8.cnf,jumpy,0.169
Naive_Encoding_Random_8.cnf,tweety,0.171
Naive_Encoding_Random_8.cnf,handy,0.165
Naive_Encoding_Random_8.cnf,crafty,0.166
Naive_Encoding_Random_8.cnf,trendy,0.166
Naive_Encoding_Random_8.cnf,many,0.167
Naive_Encoding_Random_9.cnf,auto,0.717
Naive_Encoding_Random_9.cnf,frumpy,0.700
Naive_Encoding_Random_9.cnf,jumpy,0.666
Naive_Encoding_Random_9.cnf,tweety,0.688
Naive_Encoding_Random_9.cnf,handy,0.674
Naive_Encoding_Random_9.cnf,crafty,0.676
Naive_Encoding_Random_9.cnf,trendy,0.671
Naive_Encoding_Random_9.cnf,many,0.662
