Instance,Opt_Mode,Configuration,Enum_Mode,Time(s)
Naive_Encoding_McGregor_30.cnf,opt,auto,bt,0.031
Naive_Encoding_McGregor_30.cnf,opt,auto,record,0.030
Naive_Encoding_McGregor_30.cnf,opt,auto,brave,2.975
Naive_Encoding_McGregor_30.cnf,opt,auto,cautious,0.574
Naive_Encoding_McGregor_30.cnf,opt,auto,auto,0.030
Naive_Encoding_McGregor_30.cnf,opt,frumpy,bt,0.022
Naive_Encoding_McGregor_30.cnf,opt,frumpy,record,0.022
Naive_Encoding_McGregor_30.cnf,opt,frumpy,brave,4.031
Naive_Encoding_McGregor_30.cnf,opt,frumpy,cautious,0.388
Naive_Encoding_McGregor_30.cnf,opt,frumpy,auto,0.021
Naive_Encoding_McGregor_30.cnf,opt,jumpy,bt,0.027
Naive_Encoding_McGregor_30.cnf,opt,jumpy,record,0.027
Naive_Encoding_McGregor_30.cnf,opt,jumpy,brave,1.919
Naive_Encoding_McGregor_30.cnf,opt,jumpy,cautious,0.301
Naive_Encoding_McGregor_30.cnf,opt,jumpy,auto,0.027
Naive_Encoding_McGregor_30.cnf,opt,tweety,bt,0.025
Naive_Encoding_McGregor_30.cnf,opt,tweety,record,0.026
Naive_Encoding_McGregor_30.cnf,opt,tweety,brave,2.896
Naive_Encoding_McGregor_30.cnf,opt,tweety,cautious,0.468
Naive_Encoding_McGregor_30.cnf,opt,tweety,auto,0.025
Naive_Encoding_McGregor_30.cnf,opt,handy,bt,0.025
Naive_Encoding_McGregor_30.cnf,opt,handy,record,0.025
Naive_Encoding_McGregor_30.cnf,opt,handy,brave,1.946
Naive_Encoding_McGregor_30.cnf,opt,handy,cautious,0.307
Naive_Encoding_McGregor_30.cnf,opt,handy,auto,0.025
Naive_Encoding_McGregor_30.cnf,opt,crafty,bt,0.025
Naive_Encoding_McGregor_30.cnf,opt,crafty,record,0.025
Naive_Encoding_McGregor_30.cnf,opt,crafty,brave,3.405
Naive_Encoding_McGregor_30.cnf,opt,crafty,cautious,0.348
Naive_Encoding_McGregor_30.cnf,opt,crafty,auto,0.026
Naive_Encoding_McGregor_30.cnf,opt,trendy,bt,0.029
Naive_Encoding_McGregor_30.cnf,opt,trendy,record,0.029
Naive_Encoding_McGregor_30.cnf,opt,trendy,brave,2.826
Naive_Encoding_McGregor_30.cnf,opt,trendy,cautious,0.585
Naive_Encoding_McGregor_30.cnf,opt,trendy,auto,0.030
Naive_Encoding_McGregor_30.cnf,opt,many,bt,0.032
Naive_Encoding_McGregor_30.cnf,opt,many,record,0.029
Naive_Encoding_McGregor_30.cnf,opt,many,brave,2.813
Naive_Encoding_McGregor_30.cnf,opt,many,cautious,0.593
Naive_Encoding_McGregor_30.cnf,opt,many,auto,0.030
Naive_Encoding_McGregor_30.cnf,enum,auto,bt,0.030
Naive_Encoding_McGregor_30.cnf,enum,auto,record,0.029
Naive_Encoding_McGregor_30.cnf,enum,auto,brave,2.747
Naive_Encoding_McGregor_30.cnf,enum,auto,cautious,0.615
Naive_Encoding_McGregor_30.cnf,enum,auto,auto,0.085
Naive_Encoding_McGregor_30.cnf,enum,frumpy,bt,0.042
Naive_Encoding_McGregor_30.cnf,enum,frumpy,record,0.029
Naive_Encoding_McGregor_30.cnf,enum,frumpy,brave,4.095
Naive_Encoding_McGregor_30.cnf,enum,frumpy,cautious,0.386
Naive_Encoding_McGregor_30.cnf,enum,frumpy,auto,0.021
Naive_Encoding_McGregor_30.cnf,enum,jumpy,bt,0.027
Naive_Encoding_McGregor_30.cnf,enum,jumpy,record,0.026
Naive_Encoding_McGregor_30.cnf,enum,jumpy,brave,2.018
Naive_Encoding_McGregor_30.cnf,enum,jumpy,cautious,0.293
Naive_Encoding_McGregor_30.cnf,enum,jumpy,auto,0.027
Naive_Encoding_McGregor_30.cnf,enum,tweety,bt,0.026
Naive_Encoding_McGregor_30.cnf,enum,tweety,record,0.026
Naive_Encoding_McGregor_30.cnf,enum,tweety,brave,2.921
Naive_Encoding_McGregor_30.cnf,enum,tweety,cautious,0.399
Naive_Encoding_McGregor_30.cnf,enum,tweety,auto,0.026
Naive_Encoding_McGregor_30.cnf,enum,handy,bt,0.025
Naive_Encoding_McGregor_30.cnf,enum,handy,record,0.025
Naive_Encoding_McGregor_30.cnf,enum,handy,brave,2.170
Naive_Encoding_McGregor_30.cnf,enum,handy,cautious,0.315
Naive_Encoding_McGregor_30.cnf,enum,handy,auto,0.025
Naive_Encoding_McGregor_30.cnf,enum,crafty,bt,0.026
Naive_Encoding_McGregor_30.cnf,enum,crafty,record,0.026
Naive_Encoding_McGregor_30.cnf,enum,crafty,brave,3.160
Naive_Encoding_McGregor_30.cnf,enum,crafty,cautious,0.338
Naive_Encoding_McGregor_30.cnf,enum,crafty,auto,0.026
Naive_Encoding_McGregor_30.cnf,enum,trendy,bt,0.029
Naive_Encoding_McGregor_30.cnf,enum,trendy,record,0.029
Naive_Encoding_McGregor_30.cnf,enum,trendy,brave,2.837
Naive_Encoding_McGregor_30.cnf,enum,trendy,cautious,0.583
Naive_Encoding_McGregor_30.cnf,enum,trendy,auto,0.030
Naive_Encoding_McGregor_30.cnf,enum,many,bt,0.030
Naive_Encoding_McGregor_30.cnf,enum,many,record,0.031
Naive_Encoding_McGregor_30.cnf,enum,many,brave,2.730
Naive_Encoding_McGregor_30.cnf,enum,many,cautious,0.581
Naive_Encoding_McGregor_30.cnf,enum,many,auto,0.030
Naive_Encoding_McGregor_30.cnf,optN,auto,bt,0.030
Naive_Encoding_McGregor_30.cnf,optN,auto,record,0.030
Naive_Encoding_McGregor_30.cnf,optN,auto,brave,2.690
Naive_Encoding_McGregor_30.cnf,optN,auto,cautious,0.576
Naive_Encoding_McGregor_30.cnf,optN,auto,auto,0.029
Naive_Encoding_McGregor_30.cnf,optN,frumpy,bt,0.022
Naive_Encoding_McGregor_30.cnf,optN,frumpy,record,0.021
Naive_Encoding_McGregor_30.cnf,optN,frumpy,brave,3.912
Naive_Encoding_McGregor_30.cnf,optN,frumpy,cautious,0.387
Naive_Encoding_McGregor_30.cnf,optN,frumpy,auto,0.021
Naive_Encoding_McGregor_30.cnf,optN,jumpy,bt,0.027
Naive_Encoding_McGregor_30.cnf,optN,jumpy,record,0.027
Naive_Encoding_McGregor_30.cnf,optN,jumpy,brave,2.019
Naive_Encoding_McGregor_30.cnf,optN,jumpy,cautious,0.291
Naive_Encoding_McGregor_30.cnf,optN,jumpy,auto,0.028
Naive_Encoding_McGregor_30.cnf,optN,tweety,bt,0.026
Naive_Encoding_McGregor_30.cnf,optN,tweety,record,0.025
Naive_Encoding_McGregor_30.cnf,optN,tweety,brave,2.870
Naive_Encoding_McGregor_30.cnf,optN,tweety,cautious,0.391
Naive_Encoding_McGregor_30.cnf,optN,tweety,auto,0.025
Naive_Encoding_McGregor_30.cnf,optN,handy,bt,0.025
Naive_Encoding_McGregor_30.cnf,optN,handy,record,0.025
Naive_Encoding_McGregor_30.cnf,optN,handy,brave,1.918
Naive_Encoding_McGregor_30.cnf,optN,handy,cautious,0.307
Naive_Encoding_McGregor_30.cnf,optN,handy,auto,0.025
Naive_Encoding_McGregor_30.cnf,optN,crafty,bt,0.026
Naive_Encoding_McGregor_30.cnf,optN,crafty,record,0.026
Naive_Encoding_McGregor_30.cnf,optN,crafty,brave,3.182
Naive_Encoding_McGregor_30.cnf,optN,crafty,cautious,0.338
Naive_Encoding_McGregor_30.cnf,optN,crafty,auto,0.025
Naive_Encoding_McGregor_30.cnf,optN,trendy,bt,0.029
Naive_Encoding_McGregor_30.cnf,optN,trendy,record,0.029
Naive_Encoding_McGregor_30.cnf,optN,trendy,brave,2.747
Naive_Encoding_McGregor_30.cnf,optN,trendy,cautious,0.588
Naive_Encoding_McGregor_30.cnf,optN,trendy,auto,0.029
Naive_Encoding_McGregor_30.cnf,optN,many,bt,0.029
Naive_Encoding_McGregor_30.cnf,optN,many,record,0.028
Naive_Encoding_McGregor_30.cnf,optN,many,brave,2.710
Naive_Encoding_McGregor_30.cnf,optN,many,cautious,0.585
Naive_Encoding_McGregor_30.cnf,optN,many,auto,0.029
Naive_Encoding_McGregor_30.cnf,ignore,auto,bt,0.029
Naive_Encoding_McGregor_30.cnf,ignore,auto,record,0.029
Naive_Encoding_McGregor_30.cnf,ignore,auto,brave,2.708
Naive_Encoding_McGregor_30.cnf,ignore,auto,cautious,0.576
Naive_Encoding_McGregor_30.cnf,ignore,auto,auto,0.029
Naive_Encoding_McGregor_30.cnf,ignore,frumpy,bt,0.021
Naive_Encoding_McGregor_30.cnf,ignore,frumpy,record,0.021
Naive_Encoding_McGregor_30.cnf,ignore,frumpy,brave,3.923
Naive_Encoding_McGregor_30.cnf,ignore,frumpy,cautious,0.387
Naive_Encoding_McGregor_30.cnf,ignore,frumpy,auto,0.021
Naive_Encoding_McGregor_30.cnf,ignore,jumpy,bt,0.026
Naive_Encoding_McGregor_30.cnf,ignore,jumpy,record,0.026
Naive_Encoding_McGregor_30.cnf,ignore,jumpy,brave,1.909
Naive_Encoding_McGregor_30.cnf,ignore,jumpy,cautious,0.290
Naive_Encoding_McGregor_30.cnf,ignore,jumpy,auto,0.027
Naive_Encoding_McGregor_30.cnf,ignore,tweety,bt,0.025
Naive_Encoding_McGregor_30.cnf,ignore,tweety,record,0.025
Naive_Encoding_McGregor_30.cnf,ignore,tweety,brave,2.865
Naive_Encoding_McGregor_30.cnf,ignore,tweety,cautious,0.389
Naive_Encoding_McGregor_30.cnf,ignore,tweety,auto,0.026
Naive_Encoding_McGregor_30.cnf,ignore,handy,bt,0.025
Naive_Encoding_McGregor_30.cnf,ignore,handy,record,0.025
Naive_Encoding_McGregor_30.cnf,ignore,handy,brave,1.924
Naive_Encoding_McGregor_30.cnf,ignore,handy,cautious,0.310
Naive_Encoding_McGregor_30.cnf,ignore,handy,auto,0.025
Naive_Encoding_McGregor_30.cnf,ignore,crafty,bt,0.026
Naive_Encoding_McGregor_30.cnf,ignore,crafty,record,0.026
Naive_Encoding_McGregor_30.cnf,ignore,crafty,brave,3.181
Naive_Encoding_McGregor_30.cnf,ignore,crafty,cautious,0.330
Naive_Encoding_McGregor_30.cnf,ignore,crafty,auto,0.025
Naive_Encoding_McGregor_30.cnf,ignore,trendy,bt,0.029
Naive_Encoding_McGregor_30.cnf,ignore,trendy,record,0.029
Naive_Encoding_McGregor_30.cnf,ignore,trendy,brave,2.682
Naive_Encoding_McGregor_30.cnf,ignore,trendy,cautious,0.575
Naive_Encoding_McGregor_30.cnf,ignore,trendy,auto,0.029
Naive_Encoding_McGregor_30.cnf,ignore,many,bt,0.029
Naive_Encoding_McGregor_30.cnf,ignore,many,record,0.029
Naive_Encoding_McGregor_30.cnf,ignore,many,brave,2.701
Naive_Encoding_McGregor_30.cnf,ignore,many,cautious,0.575
Naive_Encoding_McGregor_30.cnf,ignore,many,auto,0.029
