Instance,Enum_Mode,Time(s)
Naive_Encoding_Random_1.cnf,bt,0.003
Naive_Encoding_Random_1.cnf,record,0.002
Naive_Encoding_Random_1.cnf,brave,0.001
Naive_Encoding_Random_1.cnf,cautious,0.002
Naive_Encoding_Random_1.cnf,auto,0.002
Naive_Encoding_Random_10.cnf,bt,0.188
Naive_Encoding_Random_10.cnf,record,0.193
Naive_Encoding_Random_10.cnf,brave,0.086
Naive_Encoding_Random_10.cnf,cautious,0.086
Naive_Encoding_Random_10.cnf,auto,0.189
Naive_Encoding_Random_2.cnf,bt,0.001
Naive_Encoding_Random_2.cnf,record,0.001
Naive_Encoding_Random_2.cnf,brave,0.008
Naive_Encoding_Random_2.cnf,cautious,0.003
Naive_Encoding_Random_2.cnf,auto,0.001
Naive_Encoding_Random_3.cnf,bt,0.038
Naive_Encoding_Random_3.cnf,record,0.037
Naive_Encoding_Random_3.cnf,brave,0.016
Naive_Encoding_Random_3.cnf,cautious,0.016
Naive_Encoding_Random_3.cnf,auto,0.036
Naive_Encoding_Random_4.cnf,bt,0.027
Naive_Encoding_Random_4.cnf,record,0.026
Naive_Encoding_Random_4.cnf,brave,0.014
Naive_Encoding_Random_4.cnf,cautious,0.013
Naive_Encoding_Random_4.cnf,auto,0.026
Naive_Encoding_Random_5.cnf,bt,0.153
Naive_Encoding_Random_5.cnf,record,0.151
Naive_Encoding_Random_5.cnf,brave,0.065
Naive_Encoding_Random_5.cnf,cautious,0.065
Naive_Encoding_Random_5.cnf,auto,0.153
Naive_Encoding_Random_6.cnf,bt,0.081
Naive_Encoding_Random_6.cnf,record,0.081
Naive_Encoding_Random_6.cnf,brave,0.036
Naive_Encoding_Random_6.cnf,cautious,0.034
Naive_Encoding_Random_6.cnf,auto,0.079
Naive_Encoding_Random_7.cnf,bt,0.314
Naive_Encoding_Random_7.cnf,record,0.314
Naive_Encoding_Random_7.cnf,brave,0.129
Naive_Encoding_Random_7.cnf,cautious,0.125
Naive_Encoding_Random_7.cnf,auto,0.311
Naive_Encoding_Random_8.cnf,bt,0.177
Naive_Encoding_Random_8.cnf,record,0.170
Naive_Encoding_Random_8.cnf,brave,0.073
Naive_Encoding_Random_8.cnf,cautious,0.072
Naive_Encoding_Random_8.cnf,auto,0.173
Naive_Encoding_Random_9.cnf,bt,0.679
Naive_Encoding_Random_9.cnf,record,0.680
Naive_Encoding_Random_9.cnf,brave,0.260
Naive_Encoding_Random_9.cnf,cautious,0.261
Naive_Encoding_Random_9.cnf,auto,0.677
