Instance,Threads,Time(s)
Tree_Encoding_McGregor_10.cnf,1,0.161
Tree_Encoding_McGregor_10.cnf,2,0.075
Tree_Encoding_McGregor_10.cnf,4,0.043
Tree_Encoding_McGregor_10.cnf,8,0.017
Tree_Encoding_McGregor_100.cnf,1,4.670
Tree_Encoding_McGregor_100.cnf,2,1.302
Tree_Encoding_McGregor_100.cnf,4,0.634
Tree_Encoding_McGregor_100.cnf,8,0.593
Tree_Encoding_McGregor_20.cnf,1,0.464
Tree_Encoding_McGregor_20.cnf,2,0.572
Tree_Encoding_McGregor_20.cnf,4,0.132
Tree_Encoding_McGregor_20.cnf,8,0.075
Tree_Encoding_McGregor_30.cnf,1,1.258
Tree_Encoding_McGregor_30.cnf,2,0.318
Tree_Encoding_McGregor_30.cnf,4,0.123
Tree_Encoding_McGregor_30.cnf,8,0.083
Tree_Encoding_McGregor_40.cnf,1,1.197
Tree_Encoding_McGregor_40.cnf,2,0.098
Tree_Encoding_McGregor_40.cnf,4,0.101
Tree_Encoding_McGregor_40.cnf,8,0.093
Tree_Encoding_McGregor_50.cnf,1,1.441
Tree_Encoding_McGregor_50.cnf,2,0.460
Tree_Encoding_McGregor_50.cnf,4,0.131
Tree_Encoding_McGregor_50.cnf,8,0.195
Tree_Encoding_McGregor_60.cnf,1,2.834
Tree_Encoding_McGregor_60.cnf,2,4.203
Tree_Encoding_McGregor_60.cnf,4,0.257
Tree_Encoding_McGregor_60.cnf,8,0.336
Tree_Encoding_McGregor_70.cnf,1,1.326
Tree_Encoding_McGregor_70.cnf,2,0.658
Tree_Encoding_McGregor_70.cnf,4,0.398
Tree_Encoding_McGregor_70.cnf,8,0.272
Tree_Encoding_McGregor_80.cnf,1,0.588
Tree_Encoding_McGregor_80.cnf,2,0.439
Tree_Encoding_McGregor_80.cnf,4,2.014
Tree_Encoding_McGregor_80.cnf,8,0.335
Tree_Encoding_McGregor_90.cnf,1,31.881
Tree_Encoding_McGregor_90.cnf,2,5.900
Tree_Encoding_McGregor_90.cnf,4,0.556
Tree_Encoding_McGregor_90.cnf,8,0.521
